sec,link,n,stopped,mean_speed_kph
30,2,0,0,
30,40,0,0,
30,66,6,0,38.99666666666667
30,68,0,0,
30,69,1,0,34.48
30,70,0,0,
30,71,0,0,
30,121,0,0,
30,123,0,0,
30,127,0,0,
30,321,0,0,
30,322,0,0,
30,325,0,0,
30,326,0,0,
30,329,0,0,
30,10639,0,0,
30,10681,0,0,
30,10682,0,0,
30,10643,0,0,
30,10646,0,0,
60,2,0,0,
60,40,0,0,
60,66,7,0,38.70285714285715
60,68,0,0,
60,69,8,0,38.478750000000005
60,70,0,0,
60,71,0,0,
60,121,0,0,
60,123,0,0,
60,127,0,0,
60,321,0,0,
60,322,0,0,
60,325,0,0,
60,326,0,0,
60,329,0,0,
60,10639,0,0,
60,10681,0,0,
60,10682,0,0,
60,10643,0,0,
60,10646,0,0,
90,2,3,0,133.98000000000002
90,40,0,0,
90,66,11,0,40.33909090909091
90,68,0,0,
90,69,15,0,39.923333333333325
90,70,0,0,
90,71,0,0,
90,121,0,0,
90,123,0,0,
90,127,0,0,
90,321,0,0,
90,322,0,0,
90,325,0,0,
90,326,0,0,
90,329,0,0,
90,10639,0,0,
90,10681,0,0,
90,10682,0,0,
90,10643,0,0,
90,10646,0,0,
120,2,24,0,122.83875
120,40,0,0,
120,66,14,0,40.794285714285714
120,68,0,0,
120,69,18,0,37.92499999999998
120,70,0,0,
120,71,0,0,
120,121,0,0,
120,123,0,0,
120,127,0,0,
120,321,0,0,
120,322,1,0,43.34
120,325,0,0,
120,326,0,0,
120,329,0,0,
120,10639,0,0,
120,10681,0,0,
120,10682,0,0,
120,10643,0,0,
120,10646,0,0,
150,2,49,0,120.89285714285712
150,40,0,0,
150,66,18,0,40.9511111111111
150,68,0,0,
150,69,19,0,37.381052631578946
150,70,0,0,
150,71,1,0,39.4
150,121,0,0,
150,123,0,0,
150,127,7,0,78.24
150,321,0,0,
150,322,0,0,
150,325,0,0,
150,326,1,0,44.85
150,329,0,0,
150,10639,0,0,
150,10681,0,0,
150,10682,1,0,126.36
150,10643,0,0,
150,10646,0,0,
180,2,66,0,118.58212121212118
180,40,0,0,
180,66,19,0,40.449473684210524
180,68,0,0,
180,69,24,0,37.53041666666666
180,70,0,0,
180,71,1,1,0.0
180,121,0,0,
180,123,4,0,121.9025
180,127,8,6,12.06625
180,321,0,0,
180,322,0,0,
180,325,0,0,
180,326,0,0,
180,329,1,1,0.0
180,10639,0,0,
180,10681,0,0,
180,10682,2,0,112.065
180,10643,3,0,111.98666666666668
180,10646,0,0,
210,2,88,0,115.40159090909091
210,40,0,0,
210,66,19,0,40.92315789473684
210,68,0,0,
210,69,23,0,35.92956521739131
210,70,0,0,
210,71,6,3,3.4316666666666666
210,121,2,0,115.38
210,123,9,0,118.6522222222222
210,127,16,8,44.970625
210,321,0,0,
210,322,0,0,
210,325,0,0,
210,326,0,0,
210,329,1,1,0.0
210,10639,0,0,
210,10681,0,0,
210,10682,5,0,111.50399999999999
210,10643,1,0,107.43
210,10646,0,0,
240,2,94,0,114.30478723404256
240,40,0,0,
240,66,22,1,37.907272727272726
240,68,0,0,
240,69,21,0,39.209047619047624
240,70,2,0,43.29
240,71,2,2,0.0
240,121,2,0,114.22
240,123,18,0,122.40666666666665
240,127,17,2,55.6835294117647
240,321,0,0,
240,322,0,0,
240,325,2,0,43.55
240,326,0,0,
240,329,0,0,
240,10639,0,0,
240,10681,1,0,71.17
240,10682,3,0,120.17666666666666
240,10643,1,0,98.33
240,10646,0,0,
270,2,93,0,115.75774193548382
270,40,0,0,
270,66,21,2,35.52285714285714
270,68,1,0,70.54
270,69,18,0,42.71944444444444
270,70,2,0,79.245
270,71,4,3,15.6025
270,121,3,0,100.23
270,123,28,0,114.08107142857143
270,127,12,1,76.00250000000001
270,321,0,0,
270,322,2,0,43.05
270,325,0,0,
270,326,0,0,
270,329,2,0,42.114999999999995
270,10639,2,0,41.754999999999995
270,10681,0,0,
270,10682,2,0,104.16499999999999
270,10643,1,0,89.79
270,10646,0,0,
300,2,106,0,112.11141509433958
300,40,0,0,
300,66,23,5,29.218695652173913
300,68,0,0,
300,69,20,0,41.769999999999996
300,70,0,0,
300,71,4,1,14.217500000000001
300,121,0,0,
300,123,23,0,116.58739130434786
300,127,9,4,57.708888888888886
300,321,0,0,
300,322,2,0,42.845
300,325,1,0,42.21
300,326,2,0,43.575
300,329,0,0,
300,10639,1,0,41.92
300,10681,0,0,
300,10682,2,0,106.81
300,10643,2,0,84.10499999999999
300,10646,1,0,71.44
330,2,103,0,113.58932038834949
330,40,2,0,111.235
330,66,25,8,27.508000000000003
330,68,0,0,
330,69,19,0,41.617368421052625
330,70,2,0,56.125
330,71,5,4,0.9
330,121,1,0,107.45
330,123,19,0,116.33368421052633
330,127,16,11,9.909375
330,321,0,0,
330,322,0,0,
330,325,0,0,
330,326,2,0,41.755
330,329,3,2,14.403333333333334
330,10639,1,0,44.49
330,10681,0,0,
330,10682,3,0,74.02666666666666
330,10643,0,0,
330,10646,0,0,
360,2,98,0,114.23540816326529
360,40,2,0,95.775
360,66,21,0,36.646190476190476
360,68,3,0,41.64333333333333
360,69,17,0,41.098235294117636
360,70,1,0,44.27
360,71,7,6,3.1914285714285713
360,121,1,0,116.78
360,123,30,0,118.99766666666667
360,127,30,18,33.74666666666666
360,321,0,0,
360,322,0,0,
360,325,0,0,
360,326,0,0,
360,329,5,5,0.0
360,10639,1,0,40.05
360,10681,0,0,
360,10682,1,0,55.03
360,10643,1,0,87.55
360,10646,0,0,
390,2,97,0,114.33123711340207
390,40,1,0,75.91
390,66,19,1,39.27894736842105
390,68,6,0,68.79
390,69,17,0,40.882941176470595
390,70,0,0,
390,71,5,4,15.664000000000001
390,121,6,0,51.848333333333336
390,123,24,0,115.61291666666666
390,127,28,9,33.74785714285714
390,321,0,0,
390,322,0,0,
390,325,0,0,
390,326,0,0,
390,329,5,5,0.0
390,10639,1,0,43.54
390,10681,4,0,60.325
390,10682,2,0,53.614999999999995
390,10643,2,0,106.64500000000001
390,10646,2,0,42.7
420,2,115,0,113.01304347826088
420,40,0,0,
420,66,19,2,36.578947368421055
420,68,0,0,
420,69,15,0,39.39933333333333
420,70,0,0,
420,71,4,4,0.0
420,121,3,0,67.49666666666667
420,123,32,0,105.69093749999998
420,127,9,2,54.2488888888889
420,321,0,0,
420,322,2,0,41.49
420,325,0,0,
420,326,0,0,
420,329,5,5,0.0
420,10639,0,0,
420,10681,0,0,
420,10682,2,0,73.00999999999999
420,10643,1,0,118.87
420,10646,8,0,50.177499999999995
450,2,127,0,113.04622047244094
450,40,0,0,
450,66,23,5,31.08695652173913
450,68,0,0,
450,69,17,0,38.87941176470588
450,70,0,0,
450,71,1,1,0.0
450,121,2,0,117.85
450,123,32,0,105.03625000000002
450,127,16,3,73.7975
450,321,0,0,
450,322,3,0,43.57666666666666
450,325,0,0,
450,326,2,0,43.05
450,329,0,0,
450,10639,0,0,
450,10681,0,0,
450,10682,1,0,111.04
450,10643,2,0,103.3
450,10646,0,0,
480,2,124,0,113.44596774193548
480,40,3,0,78.14666666666666
480,66,21,4,33.58714285714286
480,68,0,0,
480,69,17,0,39.297647058823536
480,70,2,0,39.96
480,71,3,2,1.1233333333333333
480,121,2,0,109.72
480,123,28,0,104.56964285714285
480,127,27,15,20.328518518518518
480,321,0,0,
480,322,0,0,
480,325,0,0,
480,326,3,0,42.196666666666665
480,329,2,2,0.0
480,10639,0,0,
480,10681,0,0,
480,10682,2,0,105.88499999999999
480,10643,4,0,107.175
480,10646,0,0,
510,2,107,0,112.35719626168229
510,40,3,1,40.32
510,66,18,0,41.42777777777778
510,68,2,0,42.254999999999995
510,69,16,0,41.003750000000004
510,70,2,0,136.965
510,71,16,15,2.729375
510,121,3,0,116.50333333333333
510,123,26,0,108.82576923076924
510,127,39,27,24.977948717948713
510,321,0,0,
510,322,0,0,
510,325,0,0,
510,326,0,0,
510,329,5,5,0.0
510,10639,1,0,40.39
510,10681,0,0,
510,10682,2,0,22.195
510,10643,2,0,86.52000000000001
510,10646,0,0,
540,2,94,0,110.83936170212769
540,40,3,2,14.403333333333334
540,66,17,3,34.67411764705883
540,68,6,0,45.51666666666667
540,69,13,0,41.896153846153844
540,70,0,0,
540,71,7,6,6.437142857142858
540,121,8,0,40.50750000000001
540,123,25,0,106.5256
540,127,35,14,16.97457142857143
540,321,0,0,
540,322,0,0,
540,325,0,0,
540,326,0,0,
