no,role,link,lane_ref,pos
1,urban_or_local_speed_decision,1220000704,1220000704 1,2.035944334436172
5,urban_or_local_speed_decision,10284,10284 1,3.349872878031441
6,urban_or_local_speed_decision,10283,10283 3,18.894209727641734
7,urban_or_local_speed_decision,10283,10283 2,18.219350120268366
8,urban_or_local_speed_decision,10283,10283 1,17.54603907546736
9,urban_or_local_speed_decision,10303,10303 1,9.221438167923981
10,urban_or_local_speed_decision,10299,10299 1,13.498266321653698
11,urban_or_local_speed_decision,1220000704,1220000704 2,2.0774440244484342
12,urban_or_local_speed_decision,1220000704,1220000704 3,2.0012577195593706
13,urban_or_local_speed_decision,1220000704,1220000704 4,2.103559148656331
14,urban_or_local_speed_decision,10300,10300 1,30.531156302841413
15,urban_or_local_speed_decision,10301,10301 1,25.285637025581877
16,urban_or_local_speed_decision,10611,10611 1,1.2911411881381165
19,urban_or_local_speed_decision,383,383 1,17.8353588820353
20,urban_or_local_speed_decision,10618,10618 1,7.66421301115608
21,urban_or_local_speed_decision,10618,10618 2,7.738690978899575
22,urban_or_local_speed_decision,10618,10618 3,7.572445594788914
23,urban_or_local_speed_decision,387,387 4,1.3381873939202105
24,urban_or_local_speed_decision,387,387 3,1.3059103809512513
25,urban_or_local_speed_decision,387,387 2,1.313306793891252
26,urban_or_local_speed_decision,387,387 1,1.3643594778563775
27,urban_or_local_speed_decision,10622,10622 1,10.629976256578491
28,urban_or_local_speed_decision,10600,10600 1,10.090019740452787
29,urban_or_local_speed_decision,10294,10294 1,7.471007842394446
30,urban_or_local_speed_decision,10296,10296 1,12.374638979547067
31,urban_or_local_speed_decision,10295,10295 1,1.0998671623170582
32,urban_or_local_speed_decision,10297,10297 1,3.4548983423068576
33,urban_or_local_speed_decision,10274,10274 1,5.361321923882775
34,urban_or_local_speed_decision,10286,10286 2,2.475070501306228
35,urban_or_local_speed_decision,10286,10286 1,1.268407469492188
36,freeway_feeder_speed_decision,74,74 4,11.869191846097497
37,freeway_feeder_speed_decision,74,74 3,11.848150237030904
38,freeway_feeder_speed_decision,74,74 2,11.587768547694159
39,freeway_feeder_speed_decision,74,74 1,11.52826543395474
40,freeway_mainline_speed_decision,26,26 1,2.6157855921246247
41,freeway_mainline_speed_decision,26,26 2,1.6049783962210604
42,freeway_mainline_speed_decision,26,26 3,2.569490376598503
